Name,Height,Pos,Team,img_Link,PTS,AST,REB,PIE
Wayne Ellington,195.58,Guard,MIA,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/wayne_ellington.png,11.2,1.0,2.8,0.085
Joel Embiid,213.36,Center,PHI,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/joel_embiid.png,22.9,3.2,11.0,0.177
Tyler Ennis,190.5,Guard,LAL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/tyler_ennis.png,4.2,1.9,1.3,0
James Ennis III,200.66,Forward,DET,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/james_ennis iii.png,7.1,1.0,3.1,0.073
Jawun Evans,182.88,Guard,LAC,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/jawun_evans.png,4.8,2.1,1.8,0.046
Jeremy Evans,205.74,Forward,ATL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/jeremy_evans.png,2.0,0.0,1.0,0.025
Tyreke Evans,198.12,Guard-Forward,MEM,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/tyreke_evans.png,19.4,5.2,5.1,0.16
Dante Exum,198.12,Guard,UTA,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/dante_exum.png,8.1,3.1,1.9,0.117
Kenneth Faried,203.2,Forward,DEN,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/kenneth_faried.png,5.9,0.6,4.8,0.108
Derrick Favors,208.28,Forward-Center,UTA,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/derrick_favors.png,12.3,1.3,7.2,0.119
Kay Felder,175.26,Guard,DET,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/kay_felder.png,3.6,1.3,1.1,0.038
Cristiano Felicio,205.74,Center-Forward,CHI,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/cristiano_felicio.png,5.6,1.0,4.2,0.082
Raymond Felton,185.42000000000002,Guard,OKC,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/raymond_felton.png,6.9,2.5,1.9,0.101
Terrance Ferguson,200.66,Guard,OKC,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/terrance_ferguson.png,3.1,0.3,0.8,0.028
Yogi Ferrell,182.88,Guard,DAL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/yogi_ferrell.png,10.2,2.5,3.0,0.082
Dorian Finney-Smith,203.2,Forward,DAL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/dorian_finney-smith.png,5.9,1.2,3.6,0.051
Bryn Forbes,190.5,Guard,SAS,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/bryn_forbes.png,6.9,1.0,1.4,0.055
Evan Fournier,200.66,Guard-Forward,ORL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/evan_fournier.png,17.8,2.9,3.2,0.093
De'Aaron Fox,190.5,Guard,SAC,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/de'aaron_fox.png,11.6,4.4,2.8,0.074
Tim Frazier,185.42000000000002,Guard,WAS,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/tim_frazier.png,3.0,3.3,1.9,0.085
Channing Frye,210.82,Forward,LAL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/channing_frye.png,5.0,0.7,2.5,0.092
Markelle Fultz,193.04,Guard,PHI,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/markelle_fultz.png,7.1,3.8,3.1,0.094
